#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:true_alignment_evidence" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:true_alignment_evidence" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:true_alignment_evidence" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:true_alignment_evidence" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.true_alignment_evidence" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:true_alignment_evidence" name="distribution" x="@BDBirthRate.t:true_alignment_evidence">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:true_alignment_evidence" name="distribution" x="@BDDeathRate.t:true_alignment_evidence">
#            <Uniform id="Uniform.101" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="KappaPrior.s:true_alignment_evidence" name="distribution">
#            <parameter id="kappa.s:true_alignment_evidence" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@true_alignment_evidence" id="treeLikelihood.true_alignment_evidence" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:true_alignment_evidence">
#            <siteModel id="SiteModel.s:true_alignment_evidence" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:true_alignment_evidence" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:true_alignment_evidence" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:true_alignment_evidence" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:true_alignment_evidence" kappa="@kappa.s:true_alignment_evidence" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:true_alignment_evidence" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:true_alignment_evidence" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:true_alignment_evidence" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:true_alignment_evidence" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	BirthDeath	BDBirthRate	BDDeathRate
0	-13801.547511939594	-13796.994971478469	-13801.547511939594	4.552540461125842	-13801.547511939594	0.12202381535885005	4.524558813743022	0.23541185702943884	0.25603423324297647	0.27211289705443975	0.23644101267314502	7.287218043744111	4.901482422927147	0.4767621930816111
1	-10602.775270862097	-10604.717428027116	-10602.775270862097	-1.9421571650181	-10602.775270862097	0.3623520560054363	5.2722539520506	0.23548543227757385	0.24584089789042965	0.28805146915943386	0.23062220067256278	1.002815063656079	2.9958797197298557	0.29505910777928146
2	-10366.886822556988	-10368.702606022463	-10366.886822556988	-1.8157834654759033	-10366.886822556988	0.33706421872772185	3.894885811682895	0.2380476534752871	0.24249910842123062	0.28805146915943386	0.23140176894404854	0.7273576864065374	2.227871576880583	0.7116513289709591
3	-8465.82848430616	-8468.577071876824	-8465.82848430616	-2.7485875706644576	-8465.82848430616	0.4795561483736003	0.6959715151646222	0.25780350676650243	0.2441104349291004	0.2666842893603487	0.23140176894404854	-1.374948643115752	1.5287651656507835	0.1715144613813228
4	-8297.930471252448	-8308.915911673299	-8297.930471252448	-10.985440420850834	-8297.930471252448	3.6870190949516757	0.6797100815534755	0.2606638775491298	0.24078779418824703	0.2705293230301997	0.22801900523242358	-9.614649658473912	0.705714282221361	0.12203379737856825
5	-8293.109151411385	-8300.243738878315	-8293.109151411385	-7.13458746692874	-8293.109151411385	1.5111666375238855	0.48828503610610136	0.25150819109391304	0.23496489536363444	0.27221412570736314	0.24131278783508955	-5.76613113911148	0.6963950919174008	0.08606499256073737
6	-8283.626771437963	-8299.673332025866	-8283.626771437963	-16.046560587903695	-8283.626771437963	11.678192326870144	0.9290747988289988	0.25486127347922677	0.2293697700218585	0.270109817032905	0.2456591394660099	-14.609230446108015	0.19296259714687625	0.3410058250405944
7	-8197.40475160239	-8208.976535517055	-8197.40475160239	-11.5717839146653	-8197.40475160239	2.848975252779172	1.0054398133178957	0.2561584311003285	0.23745474785695375	0.2698677708074854	0.23651905023523254	-10.107739386549717	0.4080404219263197	0.5254877038150668
8	-8183.126187333357	-8192.227683641717	-8183.126187333357	-9.101496308359105	-8183.126187333357	1.9535033753419886	1.8106270377201703	0.25813419077054756	0.23330948035534824	0.26710734024154503	0.24144898863255929	-7.312908542879806	0.8907027867951091	0.1002227980422538
9	-7986.218222439658	-7997.284815816212	-7986.218222439658	-11.06659337655367	-7986.218222439658	1.215649837909822	2.182805987408815	0.27672996514967774	0.2221761577556267	0.26551129830020775	0.2355825787944878	-9.128498030037619	2.348888663373632	0.14735111399519324
10	-7961.305619279652	-7968.578602739792	-7961.305619279652	-7.272983460139167	-7961.305619279652	1.347054760207209	1.0047580734691255	0.27045511218724716	0.22845101071805732	0.2639410310722194	0.23715284602247608	-5.809185321114672	0.49229273851395217	0.2649934655795903
11	-7934.324162590175	-7945.1350641175695	-7934.324162590175	-10.810901527394764	-7934.324162590175	2.98447011158115	1.6492308608767494	0.2718902645945295	0.22596554058812116	0.26030307078376513	0.24184112403358424	-9.088609268984385	0.7407965804547448	0.3138916279333424
12	-7928.949963659814	-7937.839111604171	-7928.949963659814	-8.88914794435768	-7928.949963659814	1.1262947149008207	1.5672363352650003	0.2681023752672206	0.24322514568300332	0.262164686949521	0.22650779210025507	-7.200710384756579	1.9711445346220016	0.2478442893581646
13	-7925.204786608776	-7934.399094090485	-7925.204786608776	-9.194307481708709	-7925.204786608776	1.5097026883679059	0.9347708228117292	0.2763041911979251	0.25189202646484404	0.2601894823851565	0.21161429995207437	-7.75505278855411	0.6971644511032338	0.7207916839288228
14	-7911.835018674724	-7920.019254150546	-7911.835018674724	-8.184235475821694	-7911.835018674724	1.142715025986374	0.6874674015503178	0.2753953512317153	0.25602344568628566	0.2574279289624291	0.21115327411956986	-6.812122273793843	1.1162043045942551	0.4385068260106765
15	-7898.5037323246315	-7905.233956828673	-7898.5037323246315	-6.730224504041438	-7898.5037323246315	1.0595152001819892	0.8730937523692147	0.26688827239824126	0.2505771127500421	0.2638879378109148	0.21864667704080187	-5.311105152790035	0.6217268014566812	0.23403470228593407
16	-7894.617068785264	-7901.150631401853	-7894.617068785264	-6.533562616589654	-7894.617068785264	0.9953476468103541	0.8829394931757163	0.26688827239824126	0.26298014424001365	0.2514849063209432	0.21864667704080187	-5.1113400609889545	1.1890160352634154	0.04411078368862971
